epoch,co2,temp,humid,count
1759221389,511,20.69009,86.08224,0
1759221419,510,20.77287,86.12192,0
1759221449,509,20.90104,86.03189,0
1759221479,514,20.94377,86.16312,0
1759221509,516,21.03189,86.26383,0
1759221539,511,21.1574,86.20889,0
1759221569,514,21.20279,86.29435,0
1759221599,513,21.12268,85.7847,0
1759221629,506,20.89303,84.69825,0
1759221659,506,20.74617,84.27863,0
1759221689,508,20.56726,84.10315,0
1759221719,507,20.54055,84.00854,0
1759221749,510,20.46311,83.67895,0
1759221779,513,20.39635,83.31731,0
1759221810,507,20.31624,82.92821,0
1759221840,507,20.32425,84.09399,0
1759221870,510,20.4551,85.12093,0
1759221900,508,20.51919,85.56496,0
1759221930,505,20.56993,85.88083,0
1759221960,499,20.69543,86.20889,0
1759221990,499,20.78622,86.25315,0
1759222020,500,20.869,86.38895,0
1759222050,500,20.95979,86.49729,0
1759222080,501,21.05859,86.45914,0
1759222110,499,21.12802,86.57053,0
1759222140,498,21.19211,86.59953,0
1759222170,496,21.15473,85.67788,0
1759222200,491,20.91707,84.65095,0
1759222230,491,20.73281,84.22217,0
1759222260,496,20.68742,84.09552,0
1759222290,497,20.54322,83.85291,0
1759222320,495,20.34562,83.69115,0
1759222350,494,20.3109,83.61181,0
1759222380,494,20.22812,83.32342,0
1759222410,494,20.2575,83.77661,0
1759222440,491,20.39101,84.75319,0
1759222470,488,20.50851,85.50546,0
1759222500,491,20.57527,85.87778,0
1759222530,493,20.69543,86.03342,0
1759222560,492,20.7702,86.15549,0
1759222590,494,20.85298,86.40116,0
1759222620,489,20.9411,86.39201,0
1759222650,492,21.02655,86.46067,0
1759222680,490,21.08263,86.58121,0
1759222710,490,21.16541,86.61784,0
1759222740,489,20.98383,85.85641,0
1759222770,489,20.75685,84.82643,0
1759222800,489,20.59129,84.54871,0
1759222830,493,20.60998,84.25269,0
1759222860,490,20.48714,83.9292,0
1759222890,491,20.42573,83.71099,0
1759222920,489,20.27886,83.43938,0
1759222950,491,20.15602,83.1281,0
1759222980,491,20.19341,84.19623,0
1759223010,490,20.31357,85.18196,0
1759223040,486,20.42573,85.79538,0
1759223070,483,20.51652,86.1387,0
1759223100,480,20.68208,86.186,0
1759223130,480,20.73549,86.31113,0
1759223160,477,20.84497,86.38438,0
1759223190,480,20.9411,86.26231,0
1759223220,478,21.00519,86.36759,0
1759223250,477,21.10132,86.39658,0
1759223280,481,21.16007,86.4622,0
1759223310,479,21.07996,86.12344,0
1759223340,483,20.90639,84.99275,0
1759223370,482,20.83429,84.62653,0
1759223400,485,20.71145,84.27863,0
1759223430,485,20.61265,84.09705,0
