time,co2,temp,humid,count
1759162932,1177,20.7248,82.52689,8
1759162962,1178,20.07057,82.14542,8
1759162992,1178,19.69673,82.46738,8
1759163022,1181,19.46441,82.72373,8
1759163052,1179,19.1146,83.02739,8
1759163082,1177,18.89029,83.24559,8
1759163112,1169,18.85023,83.26543,8
1759163142,1170,18.73007,83.18761,8
1759163172,1178,18.682,83.07469,8
1759163202,1174,18.91432,83.39208,8
1759163232,1175,19.46441,83.76593,8
1759163262,1182,19.86229,83.56451,8
1759163292,1182,20.22545,83.35851,8
1759163322,1184,20.46044,83.14946,8
1759163352,1182,20.6527,83.25323,
